Matter_ID,RMS_CaseNumber_Standardized,Asked_for_offered_ride
5135923,94-52414,1
5145907,95-10810,1
5123133,95-75897,1
5128327,96-65759,1
5116034,04-25347,1
5116425,93-69400,1
5108697,02-411145,1
5180056,96-55969,1
5138638,94-55841,1
5127219,11-27146,1
5127656,94-1416,1
5110340,93-83798,1
5155711,95-39527,1
5110037,93-70315,1
5107656,93-33703,1
5135871,94-35310,1
5116095,92-54013,1
5119509,95-51134,1
5116674,94-46730,1
5120548,13-43472,1
5124085,02-410762,1
5137104,95-53935,1
5137616,98-83610,1
5141230,94-22778,1
5137104,96-7158,1
5138662,94-62991,1
5157945,95-47592,1
5110340,95-93440,1
5116431,93-55533,1
5123251,96-42748,1
5115968,94-44822,1
5138020,96-29396,1
5110808,93-36472,1
5171043,03-396772,1
5156378,08-8486,1
5162207,04-478518,1
5170378,15-29761,1
5125161,96-9921,1
5180029,96-44566,1
5186672,06-408424,1
5127220,08-191388,1
5149852,08-267167,1
5153602,09-32625,1
5210900,01-9-7066,1
5131716,97-90470,1
5116095,93-21559,1
5121994,97-73941,1
5115293,94-47406,1
5180077,96-49705,1
5130225,02-456618,1
5159674,05-112562,1
5137104,97-66915,1
5147497,09-97043,1
5110064,93-54001,1
5116095,92-22477,1
5111375,94-60753,1
5141230,00-2178,1
5116675,94-60764,1
5107730,94-13457,1
5108974,93-25765,1
5121994,95-103754,1
5127648,94-17353,1
5132124,94-15709,1
5137104,97-21008,1
5138544,96-29358,1
5139417,99-34717,1
5147975,95-15774,1
5159017,05-129647,1
5108697,02-375942,1
5114246,94-44863,1
5157934,95-45878,1
5157950,95-50496,1
5153602,07-408767,1
5141922,00-19616,1
5128260,96-32654,1
5162697,95-76439,1
5133406,97-78511,1
5146149,96-61157,1
5120482,94-29248,1
5175473,01-96415,1
5148826,00-448053,1
5170725,00-103627,1
5187843,06-219173,1
5124410,95-90755,1
5124657,95-82113,1
5182338,97-91175,1
