Matter_ID,RMS_CaseNumber_Standardized,Attack_while_V_asleep
5149514,08-474313,1
5187477,97-49210,1
5117375,94-67282,1
5117369,95-98614,1
5158445,06-393573,1
5186442,03-136158,1
5148551,08-7025,1
5147702,03-548654,1
5170140,93-41331,1
5135031,96-17343,1
5120464,95-65469,1
5110403,93-62660,1
5109914,06-290589,1
5149493,09-242707,1
5120464,95-63399,1
5188603,02-233463,1
5149521,09-257113,1
5132791,97-43307,1
5181857,97-63330,1
5129678,06-2811,1
5180044,96-55387,1
5191946,04-172688,1
5189205,04-497099,1
5154908,99-76525,1
5157896,95-41902,1
5151054,07-337611,1
5123251,96-55018,1
5134827,98-35242,1
5117130,94-73354,1
5141658,00-425165,1
5137688,98-50301,1
5120158,94-66998,1
5121194,95-54809,1
5146747,00-58401,1
5137688,99-21022,1
5138358,03-335679,1
5108732,93-22684,1
5129678,05-337503,1
5137688,99-59973,1
5154908,00-449479,1
5138646,94-59021,1
5147985,95-23664,1
5151244,95-39609,1
5192385,97-102897,1
5156857,06-341539,1
5147984,95-23451,1
5176408,03-265046,1
5124825,96-7360,1
5172859,01-116005,1
5162695,95-77493,1
5103967,98-78408,1
5120464,95-62707,1
5131866,95-57713,1
5132801,97-58565,1
5138531,98-75510,1
5150206,08-43475,1
5150649,07-260411,1
5171769,00-310223,1
5201169,09-16772,1
5135501,99-45557,1
5188467,04-427318,1
5141958,94-78981,1
5159747,05-36215,1
5164021,95-67305,1
5186991,07-93505,1
5202828,09-201551,1
5163642,11-12226,1
5196134,06-254039,1
5193769,05-333148,1
5120192,95-2633,1
5133392,96-60734,1
5200983,08-370207,1
5202933,09-232395,1
5144728,99-19755,1
