Matter_ID,RMS_CaseNumber_Standardized,In_vehicle
5149514,08-474313,1
5178250,96-33920,1
5141962,94-85965,1
5135923,94-52414,1
5189572,02-79271,1
5105761,96-45754,1
5127667,94-5423,1
5116034,12-347276,1
5180174,96-62118,1
5128327,96-65759,1
5116095,94-39961,1
5117584,94-83885,1
5116095,93-78071,1
5107783,95-36619,1
5110137,94-68061,1
5135899,94-46094,1
5111428,95-22,1
5120818,95-52210,1
5124085,96-1549,1
5173370,97-63265,1
5180056,96-55969,1
5190660,94-68320,1
5151273,95-31123,1
5138638,94-55841,1
5172946,96-11873,1
5124445,95-77200,1
5187724,01-205494,1
5187481,96-86114,1
5149877,01-428320,1
5127219,11-27146,1
5158209,07-6473,1
5176450,00-178334,1
5180609,96-66541,1
5156024,04-159810,1
5115730,94-15520,1
5116095,92-54013,1
5107647,95-66372,1
5145632,95-47656,1
5144275,94-96218,1
5119509,95-51134,1
5120109,95-40577,1
5141953,94-77952,1
5145642,06-446171,1
5110373,93-56858,1
5144271,94-94917,1
5061467,05-405392,1
5120548,13-43472,1
5124085,02-410762,1
5124085,93-64524,1
5124085,95-58007,1
5124085,95-82977,1
5124085,96-99418,1
5137104,95-53935,1
5137616,98-83610,1
5141230,94-22778,1
5159017,14-152778,1
5110340,95-93440,1
5116431,93-55533,1
5124705,95-36538,1
5123251,96-42748,1
5176046,01-77215,1
5180295,96-77401,1
5138020,96-29396,1
5171043,03-396772,1
5170069,01-384016,1
5132778,97-11054,1
5162207,04-478518,1
5170378,15-29761,1
5171043,03-505611,1
5123732,95-68830,1
5131878,13-2050,1
5171043,03-391205,1
5173370,96-27851,1
5187714,96-55909,1
5187738,99-25638,1
5124844,95-97218,1
5162181,96-21699,1
5125161,96-9921,1
5166764,04-475843,1
5190658,94-67929,1
5150421,94-90667,1
5127220,08-191388,1
5164488,95-82460,1
5149852,08-267167,1
5151258,95-27240,1
5153602,09-32625,1
5128258,96-30485,1
5187929,03-398504,1
5159509,05-491543,1
5153429,07-146967,1
5121994,97-73941,1
5141971,94-74680,1
5114222,94-30384,1
5170379,11-358437,1
5134829,98-36397,1
5147430,08-6636,1
5180575,96-43144,1
5147495,04-250425,1
5212177,09-409658,1
5159674,05-112562,1
5152819,07-96547,1
5128399,96-101538,1
5120151,95-42381,1
5110062,93-71196,1
5145642,06-407135,1
5137104,97-66915,1
5147497,09-97043,1
5127666,96-52941,1
5151045,07-303579,1
5146008,95-118,1
5141964,94-84139,1
5141658,00-425165,1
5111213,93-93369,1
5125067,95-51437,1
5116095,92-22477,1
5111375,94-60753,1
5127680,94-5952,1
5150588,95-28656,1
5110063,95-44990,1
5111738,95-59921,1
5113996,94-17777,1
5116095,94-88473,1
5120123,95-58494,1
5144270,94-94660,1
5145642,06-417303,1
5160173,05-128150,1
5108811,94-96168,1
5110340,95-309,1
5116675,94-60764,1
5107289,94-25756,1
5107693,94-3726,1
5107730,94-13457,1
5108974,93-25765,1
5117216,94-80930,1
5121994,95-103754,1
5127648,94-17353,1
5132124,94-15709,1
5132820,94-14099,1
5133295,00-619828,1
5133295,99-20473,1
5137104,94-85130,1
5137104,97-21008,1
5138358,03-335679,1
5138544,96-29358,1
5139417,99-34717,1
5141937,94-73143,1
5147975,95-15774,1
5157932,95-45196,1
5159017,05-129647,1
5159017,14-152778,1
5112377,99-33127,1
5124090,95-82235,1
5147490,03-404571,1
5147002,07-423966,1
5213151,10-71249,1
5187912,04-33278,1
5187960,04-186160,1
5176331,03-98438,1
5134299,98-2784,1
5124083,97-4264,1
5162697,95-76439,1
5164340,04-481734,1
5133406,97-78511,1
5187965,04-177367,1
5199776,08-72124,1
5173370,97-90205,1
5140524,98-44561,1
5146149,96-61157,1
5147002,03-133738,1
5123955,96-43995,1
5126574,95-69500,1
5143100,01-306857,1
5171043,00-563510,1
5175473,01-96415,1
5187729,97-98908,1
5146668,01-411161,1
5184110,97-9858,1
5187962,04-333556,1
5124657,95-82113,1
5162762,05-93453,1
5118493,94-86418,1
5124632,11-250042,1
5182338,97-91175,1
5178260,96-34135,1
5175418,96-29199,1
5107281,93-48467,1
5175415,96-28164,1
